v_landname,iso_code,v_kontinent,v_sub_region,v_alphabetische_gruppe,v_nationaltier
Afghanistan,AFG,Asia,Southern Asia,A-F,Unbekannt
Åland Islands,ALA,Europe,Northern Europe,S-Z,Unbekannt
Albania,ALB,Europe,Southern Europe,A-F,Unbekannt
Algeria,DZA,Africa,Northern Africa,A-F,Unbekannt
American Samoa,ASM,Oceania,Polynesia,A-F,Unbekannt
Andorra,AND,Europe,Southern Europe,A-F,Unbekannt
Angola,AGO,Africa,Sub-Saharan Africa,A-F,Unbekannt
Anguilla,AIA,Americas,Latin America and the Caribbean,A-F,Unbekannt
Antarctica,ATA,,,A-F,Unbekannt
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,A-F,Unbekannt
Argentina,ARG,Americas,Latin America and the Caribbean,A-F,Ruofous Hornero
Armenia,ARM,Asia,Western Asia,A-F,Unbekannt
Aruba,ABW,Americas,Latin America and the Caribbean,A-F,Unbekannt
Australia,AUS,Oceania,Australia and New Zealand,A-F,Känguru
Austria,AUT,Europe,Western Europe,A-F,Adler (Federal Eagle)
Azerbaijan,AZE,Asia,Western Asia,A-F,Unbekannt
Bahamas,BHS,Americas,Latin America and the Caribbean,A-F,Unbekannt
Bahrain,BHR,Asia,Western Asia,A-F,Unbekannt
Bangladesh,BGD,Asia,Southern Asia,A-F,Unbekannt
Barbados,BRB,Americas,Latin America and the Caribbean,A-F,Unbekannt
Belarus,BLR,Europe,Eastern Europe,A-F,Unbekannt
Belgium,BEL,Europe,Western Europe,A-F,Löwe
Belize,BLZ,Americas,Latin America and the Caribbean,A-F,Unbekannt
Benin,BEN,Africa,Sub-Saharan Africa,A-F,Unbekannt
Bermuda,BMU,Americas,Northern America,A-F,Unbekannt
Bhutan,BTN,Asia,Southern Asia,A-F,Unbekannt
"Bolivia, Plurinational State of",BOL,Americas,Latin America and the Caribbean,A-F,Unbekannt
"Bonaire, Sint Eustatius and Saba",BES,Americas,Latin America and the Caribbean,A-F,Unbekannt
Bosnia and Herzegovina,BIH,Europe,Southern Europe,A-F,Unbekannt
Botswana,BWA,Africa,Sub-Saharan Africa,A-F,Unbekannt
Bouvet Island,BVT,Americas,Latin America and the Caribbean,A-F,Unbekannt
Brazil,BRA,Americas,Latin America and the Caribbean,A-F,Jaguar
British Indian Ocean Territory,IOT,Africa,Sub-Saharan Africa,A-F,Unbekannt
Brunei Darussalam,BRN,Asia,South-eastern Asia,A-F,Unbekannt
Bulgaria,BGR,Europe,Eastern Europe,A-F,Unbekannt
Burkina Faso,BFA,Africa,Sub-Saharan Africa,A-F,Unbekannt
Burundi,BDI,Africa,Sub-Saharan Africa,A-F,Unbekannt
Cabo Verde,CPV,Africa,Sub-Saharan Africa,A-F,Unbekannt
Cambodia,KHM,Asia,South-eastern Asia,A-F,Unbekannt
Cameroon,CMR,Africa,Sub-Saharan Africa,A-F,Unbekannt
Canada,CAN,Americas,Northern America,A-F,Biber
Cayman Islands,CYM,Americas,Latin America and the Caribbean,A-F,Unbekannt
Central African Republic,CAF,Africa,Sub-Saharan Africa,A-F,Unbekannt
Chad,TCD,Africa,Sub-Saharan Africa,A-F,Unbekannt
Chile,CHL,Americas,Latin America and the Caribbean,A-F,Unbekannt
China,CHN,Asia,Eastern Asia,A-F,Panda
Christmas Island,CXR,Oceania,Australia and New Zealand,A-F,Unbekannt
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,A-F,Unbekannt
Colombia,COL,Americas,Latin America and the Caribbean,A-F,Unbekannt
Comoros,COM,Africa,Sub-Saharan Africa,A-F,Unbekannt
Congo,COG,Africa,Sub-Saharan Africa,A-F,Unbekannt
"Congo, Democratic Republic of the",COD,Africa,Sub-Saharan Africa,A-F,Unbekannt
Cook Islands,COK,Oceania,Polynesia,A-F,Unbekannt
Costa Rica,CRI,Americas,Latin America and the Caribbean,A-F,Unbekannt
Côte d'Ivoire,CIV,Africa,Sub-Saharan Africa,A-F,Unbekannt
Croatia,HRV,Europe,Southern Europe,A-F,Unbekannt
Cuba,CUB,Americas,Latin America and the Caribbean,A-F,Unbekannt
Curaçao,CUW,Americas,Latin America and the Caribbean,A-F,Unbekannt
Cyprus,CYP,Asia,Western Asia,A-F,Unbekannt
Czechia,CZE,Europe,Eastern Europe,A-F,Unbekannt
Denmark,DNK,Europe,Northern Europe,A-F,Unbekannt
Djibouti,DJI,Africa,Sub-Saharan Africa,A-F,Unbekannt
Dominica,DMA,Americas,Latin America and the Caribbean,A-F,Unbekannt
Dominican Republic,DOM,Americas,Latin America and the Caribbean,A-F,Unbekannt
Ecuador,ECU,Americas,Latin America and the Caribbean,A-F,Unbekannt
Egypt,EGY,Africa,Northern Africa,A-F,Unbekannt
El Salvador,SLV,Americas,Latin America and the Caribbean,A-F,Unbekannt
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,A-F,Unbekannt
Eritrea,ERI,Africa,Sub-Saharan Africa,A-F,Unbekannt
Estonia,EST,Europe,Northern Europe,A-F,Unbekannt
Eswatini,SWZ,Africa,Sub-Saharan Africa,A-F,Unbekannt
Ethiopia,ETH,Africa,Sub-Saharan Africa,A-F,Unbekannt
Falkland Islands (Malvinas),FLK,Americas,Latin America and the Caribbean,A-F,Unbekannt
Faroe Islands,FRO,Europe,Northern Europe,A-F,Unbekannt
Fiji,FJI,Oceania,Melanesia,A-F,Unbekannt
