Value,Jahr,Jahrzehnt,Zeitraum_Label
1990,1990,1990er,Vor Kyoto
1991,1991,1990er,Vor Kyoto
1992,1992,1990er,Vor Kyoto
1993,1993,1990er,Vor Kyoto
1994,1994,1990er,Vor Kyoto
1995,1995,1990er,Vor Kyoto
1996,1996,1990er,Vor Kyoto
1997,1997,1990er,Post-Kyoto
1998,1998,1990er,Post-Kyoto
1999,1999,1990er,Post-Kyoto
2000,2000,2000er,Post-Kyoto
2001,2001,2000er,Post-Kyoto
2002,2002,2000er,Post-Kyoto
2003,2003,2000er,Post-Kyoto
2004,2004,2000er,Post-Kyoto
2005,2005,2000er,Post-Kyoto
2006,2006,2000er,Post-Kyoto
2007,2007,2000er,Post-Kyoto
2008,2008,2000er,Post-Kyoto
2009,2009,2000er,Post-Kyoto
2010,2010,2010er,Post-Kyoto
2011,2011,2010er,Post-Kyoto
2012,2012,2010er,Post-Kyoto
2013,2013,2010er,Post-Kyoto
2014,2014,2010er,Post-Kyoto
2015,2015,2010er,Post-Kyoto
2016,2016,2010er,Post-Paris
2017,2017,2010er,Post-Paris
2018,2018,2010er,Post-Paris
2019,2019,2010er,Post-Paris
2020,2020,2020er,Post-Paris
2021,2021,2020er,Post-Paris
2022,2022,2020er,Post-Paris
2023,2023,2020er,Post-Paris
